Gene,Control,Experimental,Ratio
Gene_73,99.64173960890048,79.22898290585896,0.7951384953417838
Gene_74,115.64643655814008,83.41151974816644,0.7212632073296278
Gene_75,73.80254895910255,82.7669079933002,1.1214640843795953
Gene_76,108.21902504375224,88.27183249036024,0.8156775803022853
Gene_77,100.87047068238172,80.13001891877907,0.7943852980630016
Gene_78,97.00992649534132,94.53534077157316,0.9744914173923532
Gene_79,100.91760776535504,77.35343166762044,0.7665008453973264
Gene_80,80.12431085399108,107.2016916658962,1.337942136703649
Gene_81,97.80328112162488,86.25667347765007,0.8819404879718111
Gene_82,103.57112571511746,71.42842443583717,0.6896557698166578
Gene_83,114.77894044741517,69.29107501938887,0.6036915373960425
Gene_84,94.81729781726352,84.82472415243186,0.8946123345121073
Gene_85,91.91506397106812,77.7653721467415,0.8460568788944053
Gene_86,94.98242956415464,87.14000494092092,0.9174328909123486
Gene_87,109.15402117702074,84.73237624573545,0.776264358674616
Gene_88,103.28751109659684,79.27171087343127,0.767485923823787
Gene_89,94.7023979623296,71.53206281931595,0.7553352856785077
Gene_90,105.13267433113356,64.85152775314135,0.6168541622833663
Gene_91,100.9707754934804,75.53485047932979,0.7480862666466003
Gene_92,109.68644990532889,88.56398794323472,0.8074287026307707
Gene_93,92.97946906122648,82.14093744130204,0.8834309151325942
Gene_94,96.72337853402232,67.54261221288012,0.69830699916176
Gene_95,96.07891846867842,0.0,0.0
Gene_96,85.36485051867882,83.85317379728836,0.9822915788851562
Gene_97,102.96120277064576,71.16142563798867,0.691147963728691
Gene_98,102.6105527217989,81.53725105945527,0.7946283193749257
Gene_99,100.0511345664246,80.58208718446,0.8054090294294567
Gene_100,97.65412866624852,68.57029702169376,0.7021750944708721
